STATION_ID,USAF,WBAN,STATION_NAME,CTRY,STATE,LATITUDE,LONGITUDE,ELEVATION_M,BEGIN_DATE,END_DATE
42420099999,424200,99999,GOLAGHAT,IN,,26.517,93.983,95.0,19740806,20250824
42871099999,428710,99999,GONDIA ARPT/BIRSI,IN,,21.524,80.288,300.8,19730101,20250824
43049099999,430490,99999,GOPALPUR,IN,,19.267,84.883,17.0,19440101,20250824
42379099999,423790,99999,GORAKHPUR,IN,,26.74,83.45,78.9,19440101,20250824
43121099999,431210,99999,GULBARGA,IN,,17.35,76.85,458.0,19440101,20250824
42026099999,420260,99999,GULMARG,IN,,34.05,74.4,2655.0,19440601,20250824
42559099999,425590,99999,GUNA,IN,,24.65,77.317,478.0,19440101,20250824
42410099999,424100,99999,GUWAHATI INTL / LOKPRIYA GOPINATH BORDOLOI INTL,IN,,26.106,91.586,49.4,19440102,20250824
42361099999,423610,99999,GWALIOR,IN,,26.293,78.228,188.1,19440101,20250824
42522099999,425220,99999,HAFLONG,IN,,25.167,93.017,682.0,20151207,20250824
42469099999,424690,99999,HAMIRPUR,IN,,25.95,80.15,109.0,20090205,20250824
43087099999,430870,99999,HANAMKONDA,IN,,18.017,79.567,269.0,19440101,20250824
42271099999,422710,99999,HARDOI,IN,,27.383,80.167,142.0,19730101,20250824
43109099999,431090,99999,HARNAI,IN,,17.817,73.1,20.0,19440101,20250824
43227099999,432270,99999,HAVERI,IN,,14.783,75.4,573.0,20151208,20250824
42131099999,421310,99999,HISAR,IN,,29.179,75.755,213.4,19440101,20250824
43226099999,432260,99999,HONAVAR,IN,,14.283,74.45,9.0,19440101,20250824
42763099999,427630,99999,HOSHANGABAD,IN,,22.767,77.767,302.0,19440101,20250824
43201199999,432011,99999,HUBLI / HUBBALLI,IN,,15.35,75.083,661.3,20151110,20250824
43364099999,433640,99999,HUT BAY,IN,,10.583,92.55,5.0,20020604,20250824
43128599999,431285,99999,HYDERABAD INTL AIRPORT / RAJIV GANDHI INTL,IN,,17.233,78.417,617.0,20080721,20250824
42623099999,426230,99999,IMPHAL,IN,,24.76,93.897,774.2,19441202,20250824
42181099999,421810,99999,INDIRA GANDHI INTL,IN,,28.567,77.103,236.8,19750307,20250824
42675099999,426750,99999,JABALPUR,IN,,23.178,80.052,495.0,19440101,20250824
43041099999,430410,99999,JAGDALPUR,IN,,19.083,82.033,553.0,19440101,20250824
42492099999,424920,99999,JAI PRAKASH NARAYAN INTL PATNA,IN,,25.591,85.088,51.8,19440101,20250824
42348099999,423480,99999,JAIPUR,IN,,26.824,75.812,385.0,19440101,20250824
42328099999,423280,99999,JAISALMER,IN,,26.9,70.917,231.0,19730101,20250824
42851099999,428510,99999,JALGAON,IN,,21.05,75.567,201.0,19440101,20250824
42399099999,423990,99999,JALPAIGURI,IN,,26.533,88.717,83.0,19440101,20250824
42056099999,420560,99999,JAMMU,IN,,32.667,74.833,367.0,19830902,20250824
42798099999,427980,99999,JAMSHEDPUR,IN,,22.813,86.169,153.9,19730101,20250824
42799099999,427990,99999,JAMSHEDPUR,IN,,22.817,86.183,129.0,19450801,20250824
43071099999,430710,99999,JEUR,IN,,18.2,75.2,521.0,20151208,20250824
42463099999,424630,99999,JHANSI,IN,,25.491,78.558,244.1,19440101,20250824
42886099999,428860,99999,JHARSUGUDA / VEER SURENDRA SAI,IN,,21.914,84.05,228.9,19570102,20250824
42339099999,423390,99999,JODHPUR,IN,,26.251,73.049,218.5,19430731,20250824
42423099999,424230,99999,JORHAT,IN,,26.067,90.167,880.0,19430414,20250824
43342099999,433420,99999,K. PARAMATHY,IN,,10.95,78.083,181.0,19780731,20250824
42618099999,426180,99999,KAILASHAHAR,IN,,24.317,92.0,30.0,19450119,20250824
43189099999,431890,99999,KAKINADA,IN,,16.95,82.233,8.0,19440101,20250824
42296099999,422960,99999,KALIMPONG,IN,,27.067,88.467,1209.0,20151207,20250824
43105099999,431050,99999,KALINGAPATAM,IN,,18.333,84.133,6.0,19440101,20250824
42638099999,426380,99999,KANDLA AERODROME,IN,,23.15,70.117,29.0,20041007,20250824
43377099999,433770,99999,KANNIYAKUMARI,IN,,8.083,77.5,37.0,19800710,20250824
42367099999,423670,99999,KANPUR CHAKERI,IN,,26.404,80.41,123.4,19440101,20250824
43346099999,433460,99999,KARAIKAL,IN,,10.917,79.833,7.0,19990412,20250824
43225099999,432250,99999,KARWAR,IN,,14.783,74.133,4.0,19730101,20250824
43243099999,432430,99999,KAVALI,IN,,14.9,79.983,17.0,20040528,20250824
42891099999,428910,99999,KEONGJHARGARH,IN,,21.617,85.517,463.0,20010917,20250824
42832099999,428320,99999,KESHOD,IN,,21.317,70.317,50.0,20010916,20250824
42567099999,425670,99999,KHAJURAHO,IN,,24.983,79.917,217.0,20020623,20250824
43137099999,431370,99999,KHAMMAM,IN,,17.25,80.15,112.0,19440101,20250824
42855099999,428550,99999,KHANDWA,IN,,21.833,76.367,318.0,19440101,20250824
42849099999,428490,99999,KHARGONE,IN,,21.817,75.617,251.0,20090205,20250824
42270099999,422700,99999,KHERI,IN,,27.9,80.8,147.0,19730101,20250824
43339099999,433390,99999,KODAIKANAL,IN,,10.233,77.467,2343.0,19440101,20250824
42527099999,425270,99999,KOHIMA,IN,,25.633,94.167,1406.0,19770923,20250824
43157099999,431570,99999,KOLHAPUR,IN,,16.665,74.289,608.4,19730101,20250824
43097099999,430970,99999,KORAPUT,IN,,18.817,82.717,913.0,19730113,20250824
42452099999,424520,99999,KOTA,IN,,25.16,75.846,273.1,19730101,20250824
43355099999,433550,99999,KOTTAYAM,IN,,9.533,76.6,78.0,20010707,20250824
43314099999,433140,99999,KOZHIKODE,IN,,11.25,75.783,5.0,19440101,20250824
42711099999,427110,99999,KRISHNANAGAR,IN,,23.4,88.517,15.0,19950425,20250824
43213099999,432130,99999,KURNOOL,IN,,15.8,78.067,281.0,19440101,20250824
42479099999,424790,99999,LAL BAHADUR SHASTRI VARANASI INTL,IN,,25.45,82.867,81.1,19730101,20250824
42705399999,427053,99999,LEH,IN,,34.136,77.547,3255.9,20060905,20250824
42726099999,427260,99999,LENGPUI,IN,,23.841,92.62,426.1,20100719,20250824
42309099999,423090,99999,LILABARI,IN,,27.295,94.098,100.6,19431223,20250824
43310099999,433100,99999,LONG ISLAND,IN,,12.417,92.933,25.0,20070520,20250824
42369099999,423690,99999,LUCKNOW / CHAUDHARY CHARAN SINGH INTL,IN,,26.761,80.889,125.0,19440101,20250824
42099099999,420990,99999,LUDHIANA,IN,,30.867,75.933,255.0,19730101,20250824
42523099999,425230,99999,LUMDING,IN,,25.75,93.183,149.0,19730101,20250824
43266099999,432660,99999,M.O. AGATHI AIRPORT,IN,,10.85,72.467,3.0,20090205,20250824
